"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"138";"2017-09-30 13:09:03";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"139";"2017-09-30 13:09:45";"Вставлена";"Вождение";"0:13:59";"0:00:00";"0:00:00";"0:00:00";"0:13:59";"Водитель";"Один водитель";"2.82 км";
"140";"2017-09-30 13:23:44";"Вставлена";"Работа";"0:00:00";"0:00:56";"0:00:00";"0:00:00";"0:00:56";"Водитель";"Один водитель";"0.00 км";
"141";"2017-09-30 13:24:40";"Вставлена";"Вождение";"1:40:55";"0:00:00";"0:00:00";"0:00:00";"1:40:55";"Водитель";"Один водитель";"116 км";
"142";"2017-09-30 15:05:35";"Вставлена";"Работа";"0:00:00";"0:00:34";"0:00:00";"0:00:00";"0:00:34";"Водитель";"Один водитель";"0.00 км";
"143";"2017-09-30 15:06:09";"Вставлена";"Вождение";"0:14:09";"0:00:00";"0:00:00";"0:00:00";"0:14:09";"Водитель";"Один водитель";"2.82 км";
"144";"2017-09-30 15:20:18";"Вставлена";"Работа";"0:00:00";"0:00:44";"0:00:00";"0:00:00";"0:00:44";"Водитель";"Один водитель";"0.00 км";
"145";"2017-09-30 15:21:02";"Вставлена";"Вождение";"1:41:06";"0:00:00";"0:00:00";"0:00:00";"1:41:06";"Водитель";"Один водитель";"116 км";
"146";"2017-09-30 17:02:08";"Вставлена";"Работа";"0:00:00";"0:00:18";"0:00:00";"0:00:00";"0:00:18";"Водитель";"Один водитель";"0.00 км";
"147";"2017-09-30 17:02:26";"Вставлена";"Вождение";"0:14:25";"0:00:00";"0:00:00";"0:00:00";"0:14:25";"Водитель";"Один водитель";"2.82 км";
"148";"2017-09-30 17:16:51";"Вставлена";"Работа";"0:00:00";"0:00:28";"0:00:00";"0:00:00";"0:00:28";"Водитель";"Один водитель";"0.00 км";
"149";"2017-09-30 17:17:19";"Вставлена";"Вождение";"1:41:19";"0:00:00";"0:00:00";"0:00:00";"1:41:19";"Водитель";"Один водитель";"116 км";
"150";"2017-09-30 18:58:38";"Вставлена";"Работа";"0:00:00";"0:00:03";"0:00:00";"0:00:00";"0:00:03";"Водитель";"Один водитель";"0.00 км";
"151";"2017-09-30 18:58:41";"Вставлена";"Вождение";"0:14:41";"0:00:00";"0:00:00";"0:00:00";"0:14:41";"Водитель";"Один водитель";"2.82 км";
"152";"2017-09-30 19:13:22";"Вставлена";"Работа";"0:00:00";"0:00:07";"0:00:00";"0:00:00";"0:00:07";"Водитель";"Один водитель";"0.00 км";
"153";"2017-09-30 19:13:29";"Вставлена";"Вождение";"1:40:52";"0:00:00";"0:00:00";"0:00:00";"1:40:52";"Водитель";"Один водитель";"116 км";
"154";"2017-09-30 20:54:21";"Вставлена";"Работа";"0:00:00";"0:00:28";"0:00:00";"0:00:00";"0:00:28";"Водитель";"Один водитель";"0.00 км";
"155";"2017-09-30 20:54:49";"Вставлена";"Вождение";"0:14:16";"0:00:00";"0:00:00";"0:00:00";"0:14:16";"Водитель";"Один водитель";"2.82 км";
"156";"2017-09-30 21:09:05";"Вставлена";"Работа";"0:00:00";"0:00:38";"0:00:00";"0:00:00";"0:00:38";"Водитель";"Один водитель";"0.00 км";
"157";"2017-09-30 21:09:43";"Вставлена";"Вождение";"1:41:27";"0:00:00";"0:00:00";"0:00:00";"1:41:27";"Водитель";"Один водитель";"116 км";
"158";"2017-09-30 22:51:10";"Вставлена";"Работа";"0:00:00";"0:00:06";"0:00:00";"0:00:00";"0:00:06";"Водитель";"Один водитель";"0.00 км";
"159";"2017-09-30 22:51:16";"Вставлена";"Вождение";"0:14:37";"0:00:00";"0:00:00";"0:00:00";"0:14:37";"Водитель";"Один водитель";"2.82 км";
"160";"2017-09-30 23:05:53";"Вставлена";"Работа";"0:00:00";"0:00:15";"0:00:00";"0:00:00";"0:00:15";"Водитель";"Один водитель";"0.00 км";
